product,category,sub_category,brand,sale_price,rating
"Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver","Kitchen, Garden & Pets",Cookware & Non Stick,United,2059.0,3.0
Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster,Beauty & Hygiene,Health & Medicine,Baidyanath,225.0,5.0
"Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy",Snacks & Branded Foods,Chocolates & Candies,Timios,140.0,3.6
Chilli Flakes,Gourmet & World Food,Cooking & Baking Needs,On1y,99.0,4.3
Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour,"Kitchen, Garden & Pets",Storage & Accessories,Asian,319.0,3.5
Namkeen - Khara Boondi,Snacks & Branded Foods,Snacks & Namkeen,Tasties,49.0,4.0
Raw Seeds - Sunflower Pumpkin Flax Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,166.0,4.4
"Garnet LED White Bulb - 14 Watt, Cool Day, B22","Kitchen, Garden & Pets",Appliances & Electricals,Wipro,199.0,3.5
Tempeh Cubes - Simply Sriracha Soyabean,"Bakery, Cakes & Dairy",Dairy,Hello Tempayy,135.0,5.0
Sour Cream & Onion,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Appitas,95.0,2.8
Xylitol Powder,Gourmet & World Food,Cooking & Baking Needs,So Sweet,350.0,5.0
Sixer Biscuits - Salted,Snacks & Branded Foods,Biscuits & Cookies,Parle,60.0,4.2
Peach Shine Lip Care,Beauty & Hygiene,Skin Care,Himalaya,112.5,4.0
Skincare Hand Wash Refill,Beauty & Hygiene,Bath & Hand Wash,Dettol,218.0,4.3
Mix - Rava Idli,Snacks & Branded Foods,Ready To Cook & Eat,Grb,110.0,4.1
Skin Awakening Rinse,Beauty & Hygiene,Skin Care,Kaya Clinic,432.0,5.0
Regenerist - Advanced Anti-Ageing Revitalising Hydration Skin Cream Moisturizer SPF 15,Beauty & Hygiene,Skin Care,Olay,1049.25,4.1
"Tropical Fruit Pudding - Lychee, Mango, Strawberry Flavoured",Gourmet & World Food,Chocolates & Biscuits,Cocon,63.75,4.0
Salt & Peeper Shaker Masala Dabbi With Window,"Kitchen, Garden & Pets",Kitchen Accessories,Ritu,89.0,3.2
Organic - Triphala Powder,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,94.05,4.2
Aeda Glycerine Bathing Bar - Natural Green,Beauty & Hygiene,Bath & Hand Wash,K.P. Namboodiris,35.0,4.7
Sun Expert Fairnes Sunscren Lotion SPF 30 PA++,Beauty & Hygiene,Skin Care,Lakme,385.0,4.5
Cotton Pads,Beauty & Hygiene,Health & Medicine,Tulips,80.0,4.4
Ashwagandha Powder,Gourmet & World Food,Drinks & Beverages,NUTRIWISH,400.0,2.5
Frozen - Mixed Vegetables,Snacks & Branded Foods,Frozen Veggies & Snacks,Safal,93.5,4.1
Masala - Kitchen,"Foodgrains, Oil & Masala",Masalas & Spices,Aachi,29.7,5.0
Mustard/Sasive/Rai - Big,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,30.0,4.2
Ayurvedic Soap,Beauty & Hygiene,Bath & Hand Wash,Chandrika ,230.4,4.4
Cotton Swabs,Beauty & Hygiene,Health & Medicine,Tulips,109.0,4.0
Red Curry,Gourmet & World Food,Cooking & Baking Needs,Real Thai,270.0,4.4
Heavy Starch - Lemon Fresh Scent,Cleaning & Household,All Purpose Cleaners,Faultless,285.0,4.5
United Dreams Go Far Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,United Colors Of Benetton ,1330.0,5.0
So Soft 2 Ply Face Tissue Box,Cleaning & Household,"Disposables, Garbage Bag",Origami,140.0,4.1
Stevia Spoonable - Powder,Gourmet & World Food,Cooking & Baking Needs,So Sweet,320.0,3.9
Fragrance Body Spray - Cool Blue,Beauty & Hygiene,Fragrances & Deos,Park avenue,159.5,3.5
Almond & Rose Soap Value Pack,Beauty & Hygiene,Bath & Hand Wash,Himalaya,131.2,4.3
Yippee Noodles - Magic Masala,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Sunfeast,61.2,4.3
Fields Of Gold Organic Foxtail Millet,"Foodgrains, Oil & Masala",Dals & Pulses,PRISTINE,90.0,4.5
Arrabbiata Tomato Pasta Sauce With Chilli,Gourmet & World Food,"Sauces, Spreads & Dips",Montanini,325.0,5.0
"Wood - Centre Filled Bar Infused With Dark Mousse, Cinnamon & Coffee",Snacks & Branded Foods,Chocolates & Candies,Fabelle,350.0,4.5
Acno Fight Pimple Clearing Gel,Beauty & Hygiene,Men's Grooming,Garnier Men,104.3,3.3
Gold Flash - Mosquito Repellent Combo Machine & Refill,Cleaning & Household,Fresheners & Repellents,Good knight,226.16,4.3
